"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 13:18:29 GMT 2024","Sat Jul 27 13:20:20 GMT 2024","110811","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 13:16:59 GMT 2024","Sat Jul 27 13:17:11 GMT 2024","11236","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:20:21 GMT 2024","Sat Jul 27 13:21:25 GMT 2024","64926","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 13:17:11 GMT 2024","Sat Jul 27 13:18:29 GMT 2024","78408","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 13:29:25 GMT 2024","Sat Jul 27 13:30:42 GMT 2024","77332","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 27 13:26:40 GMT 2024","Sat Jul 27 13:29:24 GMT 2024","163987","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 13:23:34 GMT 2024","Sat Jul 27 13:26:40 GMT 2024","185558","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 13:21:26 GMT 2024","Sat Jul 27 13:23:34 GMT 2024","128258","Smoke test suite","","","","","Discover the Midwest",""
