"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 11:25:37 GMT 2024","Wed Jul 24 11:27:25 GMT 2024","107757","Smoke test suite","","","","","Discover the West",""
"passed","Wed Jul 24 11:35:56 GMT 2024","Wed Jul 24 11:37:09 GMT 2024","72740","Smoke test suite","","","","","Discover the Territories",""
"passed","Wed Jul 24 11:28:27 GMT 2024","Wed Jul 24 11:30:29 GMT 2024","121350","Smoke test suite","","","","","Discover the Midwest",""
"passed","Wed Jul 24 11:24:14 GMT 2024","Wed Jul 24 11:24:23 GMT 2024","9021","Smoke test suite","","","","","Welcome to the USA",""
"passed","Wed Jul 24 11:33:23 GMT 2024","Wed Jul 24 11:35:56 GMT 2024","152687","Smoke test suite","","","","","Discover the Northeast",""
"passed","Wed Jul 24 11:24:23 GMT 2024","Wed Jul 24 11:25:37 GMT 2024","73720","Smoke test suite","","","","","Discover the Pacific",""
"passed","Wed Jul 24 11:27:26 GMT 2024","Wed Jul 24 11:28:27 GMT 2024","61339","Smoke test suite","","","","","Discover the Southwest",""
"passed","Wed Jul 24 11:30:29 GMT 2024","Wed Jul 24 11:33:23 GMT 2024","173814","Smoke test suite","","","","","Welcome to the Southeast",""
