"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 13:04:22 GMT 2024","Tue Jul 23 13:05:37 GMT 2024","74896","Smoke test suite","","","","","Discover the Pacific",""
"passed","Tue Jul 23 13:07:27 GMT 2024","Tue Jul 23 13:08:29 GMT 2024","61690","Smoke test suite","","","","","Discover the Southwest",""
"passed","Tue Jul 23 13:05:38 GMT 2024","Tue Jul 23 13:07:27 GMT 2024","109497","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 13:04:13 GMT 2024","Tue Jul 23 13:04:22 GMT 2024","9373","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 13:13:29 GMT 2024","Tue Jul 23 13:16:05 GMT 2024","156352","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 13:16:05 GMT 2024","Tue Jul 23 13:17:18 GMT 2024","72769","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 13:08:29 GMT 2024","Tue Jul 23 13:10:32 GMT 2024","122243","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 13:10:32 GMT 2024","Tue Jul 23 13:13:28 GMT 2024","176446","Smoke test suite","","","","","Welcome to the Southeast",""
