"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 11:26:07 GMT 2024","Wed Jul 24 11:27:58 GMT 2024","110925","Smoke test suite","","","","","Discover the West",""
"passed","Wed Jul 24 11:24:47 GMT 2024","Wed Jul 24 11:26:06 GMT 2024","79489","Smoke test suite","","","","","Discover the Pacific",""
"passed","Wed Jul 24 11:31:13 GMT 2024","Wed Jul 24 11:34:17 GMT 2024","183885","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Wed Jul 24 11:24:35 GMT 2024","Wed Jul 24 11:24:47 GMT 2024","11741","Smoke test suite","","","","","Welcome to the USA",""
"passed","Wed Jul 24 11:27:58 GMT 2024","Wed Jul 24 11:29:04 GMT 2024","65591","Smoke test suite","","","","","Discover the Southwest",""
"passed","Wed Jul 24 11:29:04 GMT 2024","Wed Jul 24 11:31:12 GMT 2024","128432","Smoke test suite","","","","","Discover the Midwest",""
"passed","Wed Jul 24 11:34:17 GMT 2024","Wed Jul 24 11:37:00 GMT 2024","162738","Smoke test suite","","","","","Discover the Northeast",""
"passed","Wed Jul 24 11:37:00 GMT 2024","Wed Jul 24 11:38:18 GMT 2024","77442","Smoke test suite","","","","","Discover the Territories",""
