"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 12:59:39 GMT 2024","Sat Jul 27 13:00:54 GMT 2024","75064","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 12:59:29 GMT 2024","Sat Jul 27 12:59:39 GMT 2024","9969","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:05:51 GMT 2024","Sat Jul 27 13:08:51 GMT 2024","180666","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 13:08:52 GMT 2024","Sat Jul 27 13:11:28 GMT 2024","156714","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 13:02:44 GMT 2024","Sat Jul 27 13:03:46 GMT 2024","61902","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 13:03:46 GMT 2024","Sat Jul 27 13:05:50 GMT 2024","124191","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 27 13:00:55 GMT 2024","Sat Jul 27 13:02:44 GMT 2024","109020","Smoke test suite","","","","","Discover the West",""
"broken","Sat Jul 27 13:11:29 GMT 2024","Sat Jul 27 13:11:49 GMT 2024","20748","Smoke test suite","","","","","Discover the Territories",""
