"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 11:28:44 GMT 2024","Wed Jul 24 11:30:48 GMT 2024","124052","Smoke test suite","","","","","Discover the Midwest",""
"passed","Wed Jul 24 11:25:51 GMT 2024","Wed Jul 24 11:27:41 GMT 2024","109867","Smoke test suite","","","","","Discover the West",""
"passed","Wed Jul 24 11:33:47 GMT 2024","Wed Jul 24 11:36:25 GMT 2024","157589","Smoke test suite","","","","","Discover the Northeast",""
"passed","Wed Jul 24 11:36:25 GMT 2024","Wed Jul 24 11:37:39 GMT 2024","73664","Smoke test suite","","","","","Discover the Territories",""
"passed","Wed Jul 24 11:30:48 GMT 2024","Wed Jul 24 11:33:47 GMT 2024","178850","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Wed Jul 24 11:27:42 GMT 2024","Wed Jul 24 11:28:44 GMT 2024","61966","Smoke test suite","","","","","Discover the Southwest",""
"passed","Wed Jul 24 11:24:36 GMT 2024","Wed Jul 24 11:25:51 GMT 2024","75547","Smoke test suite","","","","","Discover the Pacific",""
"passed","Wed Jul 24 11:24:27 GMT 2024","Wed Jul 24 11:24:35 GMT 2024","8849","Smoke test suite","","","","","Welcome to the USA",""
