"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 10:20:14 GMT 2024","Tue Jul 23 10:20:23 GMT 2024","9108","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 10:26:36 GMT 2024","Tue Jul 23 10:29:34 GMT 2024","178124","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Tue Jul 23 10:24:32 GMT 2024","Tue Jul 23 10:26:36 GMT 2024","124208","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 10:21:39 GMT 2024","Tue Jul 23 10:23:29 GMT 2024","109543","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 10:32:12 GMT 2024","Tue Jul 23 10:33:26 GMT 2024","73544","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 10:29:35 GMT 2024","Tue Jul 23 10:32:12 GMT 2024","157162","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 10:23:29 GMT 2024","Tue Jul 23 10:24:31 GMT 2024","62410","Smoke test suite","","","","","Discover the Southwest",""
"passed","Tue Jul 23 10:20:23 GMT 2024","Tue Jul 23 10:21:39 GMT 2024","75490","Smoke test suite","","","","","Discover the Pacific",""
