"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 18:18:54 GMT 2024","Sat Jul 20 18:19:06 GMT 2024","11526","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 18:20:25 GMT 2024","Sat Jul 20 18:22:17 GMT 2024","111904","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 20 18:31:29 GMT 2024","Sat Jul 20 18:32:47 GMT 2024","77365","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 18:22:17 GMT 2024","Sat Jul 20 18:23:23 GMT 2024","65571","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 18:23:23 GMT 2024","Sat Jul 20 18:25:33 GMT 2024","130096","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 20 18:28:43 GMT 2024","Sat Jul 20 18:31:29 GMT 2024","166068","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 18:25:33 GMT 2024","Sat Jul 20 18:28:43 GMT 2024","189238","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 20 18:19:06 GMT 2024","Sat Jul 20 18:20:25 GMT 2024","79168","Smoke test suite","","","","","Discover the Pacific",""
