"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 11:27:33 GMT 2024","Wed Jul 24 11:28:35 GMT 2024","61363","Smoke test suite","","","","","Discover the Southwest",""
"passed","Wed Jul 24 11:30:39 GMT 2024","Wed Jul 24 11:33:36 GMT 2024","176964","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Wed Jul 24 11:25:44 GMT 2024","Wed Jul 24 11:27:33 GMT 2024","108767","Smoke test suite","","","","","Discover the West",""
"passed","Wed Jul 24 11:36:14 GMT 2024","Wed Jul 24 11:37:28 GMT 2024","74095","Smoke test suite","","","","","Discover the Territories",""
"passed","Wed Jul 24 11:33:37 GMT 2024","Wed Jul 24 11:36:14 GMT 2024","157090","Smoke test suite","","","","","Discover the Northeast",""
"passed","Wed Jul 24 11:24:19 GMT 2024","Wed Jul 24 11:24:29 GMT 2024","9921","Smoke test suite","","","","","Welcome to the USA",""
"passed","Wed Jul 24 11:28:35 GMT 2024","Wed Jul 24 11:30:39 GMT 2024","124055","Smoke test suite","","","","","Discover the Midwest",""
"passed","Wed Jul 24 11:24:29 GMT 2024","Wed Jul 24 11:25:44 GMT 2024","74920","Smoke test suite","","","","","Discover the Pacific",""
