"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 17:57:40 GMT 2024","Sat Jul 20 17:57:50 GMT 2024","9442","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 18:07:09 GMT 2024","Sat Jul 20 18:09:48 GMT 2024","159677","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 18:09:49 GMT 2024","Sat Jul 20 18:11:03 GMT 2024","74320","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 17:57:50 GMT 2024","Sat Jul 20 17:59:06 GMT 2024","76138","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 20 17:59:06 GMT 2024","Sat Jul 20 18:00:57 GMT 2024","110885","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 20 18:00:57 GMT 2024","Sat Jul 20 18:02:01 GMT 2024","63850","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 18:04:07 GMT 2024","Sat Jul 20 18:07:08 GMT 2024","180920","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 20 18:02:01 GMT 2024","Sat Jul 20 18:04:07 GMT 2024","125782","Smoke test suite","","","","","Discover the Midwest",""
