"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 13:03:18 GMT 2024","Sun Jul 28 13:04:37 GMT 2024","78585","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sun Jul 28 13:04:37 GMT 2024","Sun Jul 28 13:06:28 GMT 2024","110592","Smoke test suite","","","","","Discover the West",""
"passed","Sun Jul 28 13:06:28 GMT 2024","Sun Jul 28 13:07:34 GMT 2024","65367","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sun Jul 28 13:03:06 GMT 2024","Sun Jul 28 13:03:18 GMT 2024","12087","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sun Jul 28 13:12:50 GMT 2024","Sun Jul 28 13:15:35 GMT 2024","164752","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sun Jul 28 13:09:44 GMT 2024","Sun Jul 28 13:12:49 GMT 2024","185637","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sun Jul 28 13:07:34 GMT 2024","Sun Jul 28 13:09:43 GMT 2024","129338","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sun Jul 28 13:15:35 GMT 2024","Sun Jul 28 13:16:53 GMT 2024","77793","Smoke test suite","","","","","Discover the Territories",""
