"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 17:04:41 GMT 2024","Sat Jul 20 17:06:34 GMT 2024","112947","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 20 17:03:13 GMT 2024","Sat Jul 20 17:03:23 GMT 2024","9272","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 17:09:42 GMT 2024","Sat Jul 20 17:12:40 GMT 2024","178192","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 20 17:03:23 GMT 2024","Sat Jul 20 17:04:41 GMT 2024","78373","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 20 17:06:35 GMT 2024","Sat Jul 20 17:07:38 GMT 2024","63319","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 17:12:41 GMT 2024","Sat Jul 20 17:15:22 GMT 2024","161854","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 17:15:23 GMT 2024","Sat Jul 20 17:16:38 GMT 2024","75640","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 17:07:38 GMT 2024","Sat Jul 20 17:09:42 GMT 2024","123827","Smoke test suite","","","","","Discover the Midwest",""
