"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 14:00:31 GMT 2024","Sat Jul 27 14:02:18 GMT 2024","107778","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 14:02:19 GMT 2024","Sat Jul 27 14:03:20 GMT 2024","61768","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 14:08:18 GMT 2024","Sat Jul 27 14:10:55 GMT 2024","156154","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 14:10:55 GMT 2024","Sat Jul 27 14:12:07 GMT 2024","72398","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 27 13:59:08 GMT 2024","Sat Jul 27 13:59:16 GMT 2024","8172","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:59:17 GMT 2024","Sat Jul 27 14:00:30 GMT 2024","73772","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 14:05:23 GMT 2024","Sat Jul 27 14:08:18 GMT 2024","174931","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 14:03:21 GMT 2024","Sat Jul 27 14:05:23 GMT 2024","122122","Smoke test suite","","","","","Discover the Midwest",""
