"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 11:39:30 GMT 2024","Sun Jul 21 11:39:43 GMT 2024","12840","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sun Jul 21 11:49:08 GMT 2024","Sun Jul 21 11:51:50 GMT 2024","161409","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sun Jul 21 11:39:43 GMT 2024","Sun Jul 21 11:41:00 GMT 2024","77391","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sun Jul 21 11:41:00 GMT 2024","Sun Jul 21 11:42:50 GMT 2024","110113","Smoke test suite","","","","","Discover the West",""
"passed","Sun Jul 21 11:42:51 GMT 2024","Sun Jul 21 11:43:56 GMT 2024","64959","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sun Jul 21 11:51:50 GMT 2024","Sun Jul 21 11:53:06 GMT 2024","75796","Smoke test suite","","","","","Discover the Territories",""
"passed","Sun Jul 21 11:46:04 GMT 2024","Sun Jul 21 11:49:08 GMT 2024","183460","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sun Jul 21 11:43:56 GMT 2024","Sun Jul 21 11:46:04 GMT 2024","128005","Smoke test suite","","","","","Discover the Midwest",""
