"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 12:33:51 GMT 2024","Sat Jul 27 12:35:04 GMT 2024","73015","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 12:35:05 GMT 2024","Sat Jul 27 12:36:51 GMT 2024","106313","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 12:39:53 GMT 2024","Sat Jul 27 12:42:47 GMT 2024","174192","Smoke test suite","","","","","Welcome to the Southeast",""
"broken","Sat Jul 27 12:42:48 GMT 2024","Sat Jul 27 12:43:08 GMT 2024","20292","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 12:37:52 GMT 2024","Sat Jul 27 12:39:53 GMT 2024","121163","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 27 12:33:42 GMT 2024","Sat Jul 27 12:33:51 GMT 2024","8773","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 12:36:51 GMT 2024","Sat Jul 27 12:37:52 GMT 2024","60444","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 12:43:08 GMT 2024","Sat Jul 27 12:44:22 GMT 2024","74370","Smoke test suite","","","","","Discover the Territories",""
