"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 13:46:55 GMT 2024","Sat Jul 27 13:49:05 GMT 2024","130013","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 27 13:42:25 GMT 2024","Sat Jul 27 13:42:37 GMT 2024","12347","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:45:48 GMT 2024","Sat Jul 27 13:46:54 GMT 2024","66028","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 13:49:05 GMT 2024","Sat Jul 27 13:52:21 GMT 2024","196649","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 13:55:07 GMT 2024","Sat Jul 27 13:56:25 GMT 2024","77327","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 27 13:42:38 GMT 2024","Sat Jul 27 13:43:57 GMT 2024","79369","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 13:43:57 GMT 2024","Sat Jul 27 13:45:48 GMT 2024","110685","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 13:52:22 GMT 2024","Sat Jul 27 13:55:07 GMT 2024","165156","Smoke test suite","","","","","Discover the Northeast",""
