"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 20:34:00 GMT 2024","Sat Jul 20 20:35:48 GMT 2024","107825","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 20 20:32:38 GMT 2024","Sat Jul 20 20:32:46 GMT 2024","7998","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 20:38:51 GMT 2024","Sat Jul 20 20:41:47 GMT 2024","175867","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 20 20:36:49 GMT 2024","Sat Jul 20 20:38:51 GMT 2024","121785","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 20 20:35:48 GMT 2024","Sat Jul 20 20:36:49 GMT 2024","61060","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 20:44:23 GMT 2024","Sat Jul 20 20:45:36 GMT 2024","72611","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 20:41:47 GMT 2024","Sat Jul 20 20:44:23 GMT 2024","155395","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 20:32:46 GMT 2024","Sat Jul 20 20:34:00 GMT 2024","73422","Smoke test suite","","","","","Discover the Pacific",""
