"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 17:39:57 GMT 2024","Sat Jul 20 17:41:04 GMT 2024","66955","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 17:41:04 GMT 2024","Sat Jul 20 17:43:15 GMT 2024","131203","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 20 17:46:31 GMT 2024","Sat Jul 20 17:49:19 GMT 2024","168447","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 17:36:33 GMT 2024","Sat Jul 20 17:36:45 GMT 2024","11581","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 17:38:05 GMT 2024","Sat Jul 20 17:39:57 GMT 2024","111950","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 20 17:36:45 GMT 2024","Sat Jul 20 17:38:04 GMT 2024","79746","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 20 17:49:20 GMT 2024","Sat Jul 20 17:50:38 GMT 2024","78410","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 17:43:16 GMT 2024","Sat Jul 20 17:46:30 GMT 2024","194611","Smoke test suite","","","","","Welcome to the Southeast",""
