"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 10:35:12 GMT 2024","Tue Jul 23 10:36:27 GMT 2024","75282","Smoke test suite","","","","","Discover the Pacific",""
"passed","Tue Jul 23 10:36:27 GMT 2024","Tue Jul 23 10:38:15 GMT 2024","108114","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 10:44:18 GMT 2024","Tue Jul 23 10:46:55 GMT 2024","156467","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 10:46:55 GMT 2024","Tue Jul 23 10:48:08 GMT 2024","73221","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 10:35:03 GMT 2024","Tue Jul 23 10:35:11 GMT 2024","8072","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 10:41:21 GMT 2024","Tue Jul 23 10:44:18 GMT 2024","177416","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Tue Jul 23 10:38:16 GMT 2024","Tue Jul 23 10:39:17 GMT 2024","61438","Smoke test suite","","","","","Discover the Southwest",""
"passed","Tue Jul 23 10:39:17 GMT 2024","Tue Jul 23 10:41:20 GMT 2024","122993","Smoke test suite","","","","","Discover the Midwest",""
