"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 14:27:40 GMT 2024","Mon Jul 22 14:28:45 GMT 2024","64808","Smoke test suite","","","","","Discover the Southwest",""
"passed","Mon Jul 22 14:34:00 GMT 2024","Mon Jul 22 14:36:44 GMT 2024","164077","Smoke test suite","","","","","Discover the Northeast",""
"passed","Mon Jul 22 14:24:30 GMT 2024","Mon Jul 22 14:25:49 GMT 2024","79146","Smoke test suite","","","","","Discover the Pacific",""
"passed","Mon Jul 22 14:36:45 GMT 2024","Mon Jul 22 14:38:03 GMT 2024","78113","Smoke test suite","","","","","Discover the Territories",""
"passed","Mon Jul 22 14:30:55 GMT 2024","Mon Jul 22 14:34:00 GMT 2024","184890","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Mon Jul 22 14:28:45 GMT 2024","Mon Jul 22 14:30:55 GMT 2024","129543","Smoke test suite","","","","","Discover the Midwest",""
"passed","Mon Jul 22 14:24:18 GMT 2024","Mon Jul 22 14:24:30 GMT 2024","11353","Smoke test suite","","","","","Welcome to the USA",""
"passed","Mon Jul 22 14:25:49 GMT 2024","Mon Jul 22 14:27:40 GMT 2024","110578","Smoke test suite","","","","","Discover the West",""
