"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 13:02:53 GMT 2024","Sat Jul 27 13:04:06 GMT 2024","73262","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 13:11:51 GMT 2024","Sat Jul 27 13:14:24 GMT 2024","153507","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 13:04:07 GMT 2024","Sat Jul 27 13:05:54 GMT 2024","107164","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 13:14:25 GMT 2024","Sat Jul 27 13:15:37 GMT 2024","72798","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 27 13:05:54 GMT 2024","Sat Jul 27 13:06:55 GMT 2024","60474","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 13:02:45 GMT 2024","Sat Jul 27 13:02:53 GMT 2024","8384","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:08:57 GMT 2024","Sat Jul 27 13:11:50 GMT 2024","173844","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 13:06:55 GMT 2024","Sat Jul 27 13:08:56 GMT 2024","121498","Smoke test suite","","","","","Discover the Midwest",""
