"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 21:42:33 GMT 2024","Sat Jul 20 21:43:47 GMT 2024","74269","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 20 21:46:36 GMT 2024","Sat Jul 20 21:48:38 GMT 2024","121869","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sat Jul 20 21:54:09 GMT 2024","Sat Jul 20 21:55:22 GMT 2024","72776","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 20 21:48:39 GMT 2024","Sat Jul 20 21:51:34 GMT 2024","175395","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 20 21:42:25 GMT 2024","Sat Jul 20 21:42:33 GMT 2024","8334","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 20 21:51:34 GMT 2024","Sat Jul 20 21:54:09 GMT 2024","154587","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 20 21:45:35 GMT 2024","Sat Jul 20 21:46:36 GMT 2024","60821","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 20 21:43:48 GMT 2024","Sat Jul 20 21:45:35 GMT 2024","107524","Smoke test suite","","","","","Discover the West",""
