"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 08:39:48 GMT 2024","Tue Jul 23 08:41:02 GMT 2024","74111","Smoke test suite","","","","","Discover the Pacific",""
"passed","Tue Jul 23 08:51:28 GMT 2024","Tue Jul 23 08:52:41 GMT 2024","72969","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 08:43:55 GMT 2024","Tue Jul 23 08:45:57 GMT 2024","122192","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 08:41:02 GMT 2024","Tue Jul 23 08:42:53 GMT 2024","110665","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 08:45:58 GMT 2024","Tue Jul 23 08:48:53 GMT 2024","175442","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Tue Jul 23 08:48:53 GMT 2024","Tue Jul 23 08:51:28 GMT 2024","154488","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 08:39:39 GMT 2024","Tue Jul 23 08:39:48 GMT 2024","8708","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 08:42:53 GMT 2024","Tue Jul 23 08:43:55 GMT 2024","61400","Smoke test suite","","","","","Discover the Southwest",""
