"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 09:03:29 GMT 2024","Tue Jul 23 09:06:24 GMT 2024","174598","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Tue Jul 23 09:08:40 GMT 2024","Tue Jul 23 09:10:02 GMT 2024","81605","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 09:00:24 GMT 2024","Tue Jul 23 09:01:26 GMT 2024","62075","Smoke test suite","","","","","Discover the Southwest",""
"failed","Tue Jul 23 09:06:24 GMT 2024","Tue Jul 23 09:08:40 GMT 2024","136367","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 08:58:36 GMT 2024","Tue Jul 23 09:00:24 GMT 2024","107136","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 09:01:26 GMT 2024","Tue Jul 23 09:03:29 GMT 2024","122443","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 08:57:13 GMT 2024","Tue Jul 23 08:57:22 GMT 2024","9295","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 08:57:22 GMT 2024","Tue Jul 23 08:58:36 GMT 2024","73650","Smoke test suite","","","","","Discover the Pacific",""
