"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 07:52:47 GMT 2024","Mon Jul 29 07:55:45 GMT 2024","177458","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Mon Jul 29 07:50:43 GMT 2024","Mon Jul 29 07:52:47 GMT 2024","123692","Smoke test suite","","","","","Discover the Midwest",""
"passed","Mon Jul 29 07:58:21 GMT 2024","Mon Jul 29 07:59:35 GMT 2024","73521","Smoke test suite","","","","","Discover the Territories",""
"passed","Mon Jul 29 07:55:45 GMT 2024","Mon Jul 29 07:58:21 GMT 2024","155762","Smoke test suite","","","","","Discover the Northeast",""
"passed","Mon Jul 29 07:46:38 GMT 2024","Mon Jul 29 07:47:53 GMT 2024","74770","Smoke test suite","","","","","Discover the Pacific",""
"passed","Mon Jul 29 07:49:41 GMT 2024","Mon Jul 29 07:50:43 GMT 2024","61749","Smoke test suite","","","","","Discover the Southwest",""
"passed","Mon Jul 29 07:46:29 GMT 2024","Mon Jul 29 07:46:38 GMT 2024","9331","Smoke test suite","","","","","Welcome to the USA",""
"passed","Mon Jul 29 07:47:53 GMT 2024","Mon Jul 29 07:49:41 GMT 2024","108047","Smoke test suite","","","","","Discover the West",""
