"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 10:06:27 GMT 2024","Tue Jul 23 10:08:14 GMT 2024","106909","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 10:08:14 GMT 2024","Tue Jul 23 10:09:14 GMT 2024","60217","Smoke test suite","","","","","Discover the Southwest",""
"passed","Tue Jul 23 10:05:04 GMT 2024","Tue Jul 23 10:05:13 GMT 2024","8512","Smoke test suite","","","","","Welcome to the USA",""
"passed","Tue Jul 23 10:05:13 GMT 2024","Tue Jul 23 10:06:27 GMT 2024","73540","Smoke test suite","","","","","Discover the Pacific",""
"passed","Tue Jul 23 10:16:44 GMT 2024","Tue Jul 23 10:17:57 GMT 2024","72471","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 10:09:15 GMT 2024","Tue Jul 23 10:11:17 GMT 2024","122284","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 10:14:11 GMT 2024","Tue Jul 23 10:16:44 GMT 2024","152730","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 10:11:17 GMT 2024","Tue Jul 23 10:14:11 GMT 2024","173695","Smoke test suite","","","","","Welcome to the Southeast",""
