"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 08:55:17 GMT 2024","Wed Jul 24 08:57:23 GMT 2024","126564","Smoke test suite","","","","","Discover the Midwest",""
"passed","Wed Jul 24 09:03:07 GMT 2024","Wed Jul 24 09:04:23 GMT 2024","75244","Smoke test suite","","","","","Discover the Territories",""
"passed","Wed Jul 24 09:00:26 GMT 2024","Wed Jul 24 09:03:07 GMT 2024","160743","Smoke test suite","","","","","Discover the Northeast",""
"passed","Wed Jul 24 08:51:07 GMT 2024","Wed Jul 24 08:52:23 GMT 2024","75496","Smoke test suite","","","","","Discover the Pacific",""
"passed","Wed Jul 24 08:54:14 GMT 2024","Wed Jul 24 08:55:17 GMT 2024","62592","Smoke test suite","","","","","Discover the Southwest",""
"passed","Wed Jul 24 08:50:57 GMT 2024","Wed Jul 24 08:51:07 GMT 2024","9900","Smoke test suite","","","","","Welcome to the USA",""
"passed","Wed Jul 24 08:52:23 GMT 2024","Wed Jul 24 08:54:14 GMT 2024","110934","Smoke test suite","","","","","Discover the West",""
"passed","Wed Jul 24 08:57:24 GMT 2024","Wed Jul 24 09:00:26 GMT 2024","182054","Smoke test suite","","","","","Welcome to the Southeast",""
