"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 13:33:20 GMT 2024","Sat Jul 27 13:33:29 GMT 2024","9453","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sat Jul 27 13:39:41 GMT 2024","Sat Jul 27 13:42:38 GMT 2024","176943","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sat Jul 27 13:34:45 GMT 2024","Sat Jul 27 13:36:34 GMT 2024","108626","Smoke test suite","","","","","Discover the West",""
"passed","Sat Jul 27 13:36:34 GMT 2024","Sat Jul 27 13:37:36 GMT 2024","62163","Smoke test suite","","","","","Discover the Southwest",""
"passed","Sat Jul 27 13:45:15 GMT 2024","Sat Jul 27 13:46:29 GMT 2024","73869","Smoke test suite","","","","","Discover the Territories",""
"passed","Sat Jul 27 13:33:29 GMT 2024","Sat Jul 27 13:34:45 GMT 2024","75419","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sat Jul 27 13:42:38 GMT 2024","Sat Jul 27 13:45:14 GMT 2024","156157","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sat Jul 27 13:37:36 GMT 2024","Sat Jul 27 13:39:41 GMT 2024","124130","Smoke test suite","","","","","Discover the Midwest",""
