"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 15:07:20 GMT 2024","Tue Jul 23 15:08:23 GMT 2024","62588","Smoke test suite","","","","","Discover the Southwest",""
"passed","Tue Jul 23 15:08:23 GMT 2024","Tue Jul 23 15:10:28 GMT 2024","124460","Smoke test suite","","","","","Discover the Midwest",""
"passed","Tue Jul 23 15:10:28 GMT 2024","Tue Jul 23 15:13:26 GMT 2024","178008","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Tue Jul 23 15:04:13 GMT 2024","Tue Jul 23 15:05:30 GMT 2024","76272","Smoke test suite","","","","","Discover the Pacific",""
"passed","Tue Jul 23 15:16:03 GMT 2024","Tue Jul 23 15:17:18 GMT 2024","74705","Smoke test suite","","","","","Discover the Territories",""
"passed","Tue Jul 23 15:13:26 GMT 2024","Tue Jul 23 15:16:03 GMT 2024","156577","Smoke test suite","","","","","Discover the Northeast",""
"passed","Tue Jul 23 15:05:30 GMT 2024","Tue Jul 23 15:07:20 GMT 2024","110181","Smoke test suite","","","","","Discover the West",""
"passed","Tue Jul 23 15:04:03 GMT 2024","Tue Jul 23 15:04:13 GMT 2024","10068","Smoke test suite","","","","","Welcome to the USA",""
