"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 13:11:56 GMT 2024","Sun Jul 28 13:14:29 GMT 2024","153515","Smoke test suite","","","","","Discover the Northeast",""
"passed","Sun Jul 28 13:09:03 GMT 2024","Sun Jul 28 13:11:56 GMT 2024","172401","Smoke test suite","","","","","Welcome to the Southeast",""
"passed","Sun Jul 28 13:14:30 GMT 2024","Sun Jul 28 13:15:43 GMT 2024","72984","Smoke test suite","","","","","Discover the Territories",""
"passed","Sun Jul 28 13:02:49 GMT 2024","Sun Jul 28 13:02:57 GMT 2024","8347","Smoke test suite","","","","","Welcome to the USA",""
"passed","Sun Jul 28 13:04:12 GMT 2024","Sun Jul 28 13:06:00 GMT 2024","107809","Smoke test suite","","","","","Discover the West",""
"passed","Sun Jul 28 13:02:57 GMT 2024","Sun Jul 28 13:04:12 GMT 2024","74181","Smoke test suite","","","","","Discover the Pacific",""
"passed","Sun Jul 28 13:07:02 GMT 2024","Sun Jul 28 13:09:03 GMT 2024","120838","Smoke test suite","","","","","Discover the Midwest",""
"passed","Sun Jul 28 13:06:00 GMT 2024","Sun Jul 28 13:07:02 GMT 2024","61830","Smoke test suite","","","","","Discover the Southwest",""
